問題,正解,"	不正解"
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>役<style=1C-2>やく</style>所<style=1C-1.5>しょ</style>の近<style=1C-2>ちか</style>くにある、見<style=1C-1>み</style>頃<style=1C-2>ごろ</style>には１００輪<style=1C-2>りん</style>近<style=1C-2>ちか</style>くのオオガハスが見<style=1C-1>み</style>られる公<style=1C-2>こう</style>園<style=1C-2>えん</style>の名<style=1C-1>な</style>前<style=1C-2>まえ</style>は何<style=1C-2>なん</style>でしょうか？,９４輪<style=C1-2>りん</style>,７３輪<style=C1-2>りん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある、こんよう神<style=1C-2>しん</style>社<style=1C-2>しゃ</style>は何<style=C1-2>なん</style>の神<style=1C-2>かみ</style>様<style=C1-2>さま</style>を祀<style=C1-2>まつ</style>っているでしょうか？,芋<style=C1-2>いも</style>神<style=C1-2>がみ</style>様<style=C1-2>さま</style>,じゃがいも様<style=C1-2>さま</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>の中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>部<style=1C-1>ぶ</style>を流<style=1C-2>なが</style>れる花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>がつながっているのは、どちらでしょうか？,江<style=C1-1>え</style>戸<style=C1-1>ど</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>,縄<style=1C-2.5>じょう</style>文<style=1C-2>もん</style>時<style=1C-1>じ</style>代<style=1C-2>だい</style>
"2内<style=1C-2>うち</style>野<style=1C-1>の</style>第<style=1C-2>だい</style>１<style=1C-2>いち</style>遺<style=1C-1>い</style>跡<style=1C-2>せき</style>で見<style=C1-1>み</style>つかっていない遺物<style=C2-3>いぶつ</style>はどっちでしょうか？	ハニワ	ミニチュア土器<style=C2-2>どき</style>",ハニワ,ミニチュア土<style=C1-1>ど</style>器<style=C1-1>き</style>
"千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある武<style=1C-2>たけ</style>石<style=1C-2>いし</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>は誰<style=C1-2>だれ</style>に関<style=1C-2>かん</style>係<style=C1-2>けい</style>した神<style=1C-2>じん</style>社<style=C1-1.5>じゃ</style>でしょうか？	武石三郎胤盛<style=C6-12>たけいしさぶろうたねもり</style>	武石三十郎胤盛<style=C7-14.5>たけいしさんじゅうろうたねもり</style>",武<style=C1-2>たけ</style>石<style=C1-2>いし</style>三<style=C1-2>さん</style>郎<style=C1-2>ろう</style>胤<style=C1-2>たね</style>盛<style=C1-2>もり</style>,武<style=C1-2>たけ</style>石<style=C1-2>いし</style>三<style=C1-2>さん</style>十<style=C1-2.5>じゅう</style>郎<style=C1-2>ろう</style>胤<style=C1-2>たね</style>盛<style=C1-2>もり</style>
"千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある花<style=1C-2>はな</style>園<style=1C-2>ぞの</style>公<style=1C-2>こう</style>民<style=1C-2>みん</style>館<style=C1-2>かん</style>が出<style=C1-1>だ</style>しているお便<style=C1-2>たよ</style>りはどっちでしょうか？	花園公民館<style=C5-10>はなぞのこうみんかん</style>だより	お花<style=C1-2>はな</style>だより",花<style=C1-2>はな</style>園<style=C1-2>ぞの</style>公<style=C1-2>こう</style>民<style=C1-2>みん</style>館<style=C1-2>かん</style>だより,お花<style=C1-2>はな</style>だより
"千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある幕<style=1C-2>まく</style>張<style=1C-2>はり</style>駅<style=C1-2>えき</style>が発<style=1C-1.5>はっ</style>車<style=C1-1.5>しゃ</style>メロディーを導入<style=C2-4.5>どうにゅう</style>したのはいつでしょうか？	平成10年<style=C5-8.5>へいせいじゅうねん</style>	昭和62年<style=C5-11>しょうわろくじゅうにねん</style>",平<style=C1-2>へい</style>成<style=C1-2>せい</style>10年<style=C1-2>ねん</style>,昭<style=C1-2.5>しょう</style>和<style=C1-1>わ</style>62年<style=C1-2>ねん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある犢<style=1C-2>こて</style>橋<style=1C-2>はし</style>貝<style=1C-2>かい</style>塚<style=C1-2>づか</style>が史<style=1C-1>し</style>跡<style=C1-2>せき</style>に指<style=1C-1>し</style>定<style=1C-2>てい</style>されたのはいつでしょうか？,昭<style=C1-2.5>しょう</style>和<style=C1-1>わ</style>43年<style=C1-2>ねん</style>,昭<style=C1-2.5>しょう</style>和<style=C1-1>わ</style>56年<style=C1-2>ねん</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>の国<style=1C-2>こく</style>道<style=1C-2>どう</style>14号<style=1C-2>ごう</style>線<style=1C-2>せん</style>沿<style=1C-2>ぞい</style>いには、稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>浅<style=1C-2>あさ</style>間<style=1C-1>ま</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>の鳥<style=1C-2>とり</style>居<style=1C-1>い</style>があります。この場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>は、もともとどんな場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>だったでしょうか？,海<style=C1-2>うみ</style>の上<style=C1-2>うえ</style>,砂<style=C1-1>さ</style>漠<style=C1-2>ばく</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある来<style=1C-2>らい</style>迎<style=1C-2>こう</style>寺<style=C1-1>じ</style>の五<style=1C-1>ご</style>輪<style=1C-2>りん</style>塔<style=C1-2>とう</style>に書<style=C1-1>か</style>いてある銘<style=1C-2>めい</style>文<style=C1-2>ぶん</style>は何<style=1C-2>なん</style>人<style=1C-2>にん</style>分<style=C1-2>ぶん</style>でしょうか？,7人<style=C1-2>にん</style>分<style=C1-2>ぶん</style>,5人<style=C1-2>にん</style>分<style=C1-2>ぶん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>氏<style=1C-1>し</style>累<style=1C-2>るい</style>代<style=1C-2>だい</style>の墓<style=1C-1>ぼ</style>碑<style=C1-1>ひ</style>は千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>のどこのお寺<style=C1-2>てら</style>にあるでしょうか？,大<style=C1-2>だい</style>日<style=C1-2>にち</style>寺<style=C1-2>でら</style>,来<style=C1-2>らい</style>迎<style=C1-2>こう</style>寺<style=C1-1>じ</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>ゆかりの家<style=C1-2>いえ</style>・いなげは貴<style=C1-1>き</style>重<style=C1-2.5>ちょう</style>な和<style=C1-1>わ</style>風<style=C1-2>ふう</style>別<style=C1-1.5>べっ</style>荘<style=C1-2>そう</style>建<style=C1-2>けん</style>築<style=C1-2>ちく</style>として何<style=C1-2>なに</style>に登<style=C1-2>とう</style>録<style=C1-2>ろう</style>されたか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>地<style=C1-1>ち</style>域<style=C1-2>いき</style>有<style=C1-2>ゆう</style>形<style=C1-2>けい</style>文<style=C1-2>ぶん</style>化<style=C1-1>か</style>財<style=C1-2>ざい</style>,世<style=C1-1>せ</style>界<style=C1-2>かい</style>遺<style=C1-1>い</style>産<style=C1-2>さん</style>
